input,output,instruction
"This LOAN AND SECURITY AGREEMENT dated January 27 , 1999 , between SILICON VALLEY BANK ("" Bank ""), a California - chartered bank with its principal place of business at 3003 Tasman Drive , Santa Clara , California 95054 with a loan production office located at 40 William St ., Ste .","SILICON VALLEY BANK is an organization, Bank is an organization, California is a location, bank is an organization, 3003 Tasman Drive is a location, Santa Clara is a location, California is a location, 40 William St is a location.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"350 , Wellesley , Massachusetts 02481 doing business as "" Silicon Valley East "" and AKAMAI TECHNOLOGIES , INC . ("" Borrower ""), whose address is 201 Broadway , 4th Floor , Cambridge , Massachusetts 02139 provides the terms on which Bank will lend to Borrower and Borrower will repay Bank .","Wellesley is a location, Massachusetts is a location, Silicon Valley East is a location, AKAMAI TECHNOLOGIES is an organization, Borrower is a person, 201 Broadway is a location, Cambridge is a location, Massachusetts is a location, Bank is an organization, Borrower is a person, Borrower is a person, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
This Agreement shall be construed to impart upon Bank a duty to act reasonably at all times .,Bank is an organization.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
Borrower will pay Bank the unpaid principal amount of all Credit Extensions and interest on the unpaid principal amount of the Credit Extensions .,"Borrower is a person, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"Subject to the terms and conditions of this Agreement , Bank agrees to lend to Borrower , from time to time prior to the Commitment Termination Date , equipment advances ( each an "" Equipment Advance "" and collectively the "" Equipment Advances "").","Bank is an organization, Borrower is a person.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
The proceeds of the Equipment Advances will be used solely to reimburse Borrower for the purchase of Eligible Equipment .,Borrower is a person.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"Bank ' s obligation to lend hereunder shall terminate on the earlier of ( i ) the occurrence and continuance of an Event of Default , and ( ii ) the Commitment Termination Date .",Bank is an organization.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"( a ) To obtain an Equipment Advance , Borrower will deliver to Bank a completed supplement in substantially the form attached ("" Loan Supplement ""), together with invoices and such additional information as Bank may request at least five ( 5 ) Business Days before the proposed funding date ( the "" Funding Date "").","Borrower is a person, Bank is an organization, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"On each Funding Date , Bank will specify in the Loan Supplement for each Equipment Advance , the Basic Rate , the Loan Factor , the Payment Dates , and a table of Stipulated Loan Values , together with a UCC Financing Statement covering the Equipment described on the Loan Supplement .",Bank is an organization.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"If Borrower satisfies the conditions of each Equipment Advance specified from time to time by Bank , Bank will disburse such Equipment Advance by internal transfer to Borrower ' s deposit account with Bank .","Borrower is a person, Bank is an organization, Bank is an organization, Borrower is a person, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"( b ) Bank ' s obligation to lend the undisbursed portion of the Committed Equipment Line will terminate if , in Bank ' s sole discretion , there has been a material adverse change in the general affairs , management , results of operation , condition ( financial or otherwise ) or the prospects of Borrower , whether or not arising from transactions in the ordinary course of business , or there has been material adverse deviation by Borrower from the most recent business plan of Borrower presented to and accepted by Bank prior to the execution of this Agreement .","Bank is an organization, Bank is an organization, Borrower is a person, Borrower is a person, Borrower is a person, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"Borrower will make payments monthly in advance of principal and accrued interest for each Equipment Advance ( collectively , "" Scheduled Payments ""), on the first Business Day of the month following the Funding Date ( or commencing on the Funding Date if the Funding Date is the first Business Day of the month ) with respect to such Equipment Advance and continuing thereafter during the Repayment Period on the first Business Day of each calendar month ( each a "" Payment Date ""), in an amount equal to the Loan Factor multiplied by the Loan Amount for such Equipment Advance as of such Payment Date .",Borrower is a person.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
An Equipment Advance may be prepaid only upon payment of a prepayment premium specified by Bank .,Bank is an organization.,"Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
"Borrower will pay interest on the unpaid principal amount of each Equipment Advance from the first Payment Date after the Funding Date of such Equipment Advance until the Equipment Advance has been paid in full , at the per annum rate of interest equal to the Basic Rate determined by Bank as of the Funding Date for each Equipment Advance in accordance with the definition of the Basic Rate .","Borrower is a person, Bank is an organization.","Please extract entities and their types from the input sentence, entity types should be chosen from {person/organization/location}."
