input,output,instruction
"甲公司在非同一控制下企业合并中取得10台生产设备，合并日以公允价值计量这些生产设备。甲公司可以进入X市场或Y市场出售这些生产设备，合并日相同生产设备每台交易价格分别为180万元和175万元。如果甲公司在X市场出售这些合并中取得的生产设备，需要支付相关交易费用100万元，将这些生产设备运到X市场需要支付运费60万元。如果甲公司在Y市场出售这些合并中取得的生产设备，需要支付相关交易费用80万元，将这些生产设备运到Y市场需要支付运费20万元。假定上述生产设备不存在主要市场，不考虑增值税及其他因素，甲公司上述生产设备的公允价值总额是____。
A. 1640万元
B. 1650万元
C. 1730万元
D. 1740万元
",C. 1730万元,以下是中国关于会计考试的单项选择题，请选出其中的正确答案。
"根据《证券投资基金运作管理办法》的规定，封闭式基金收益分配应____。
A. 收益分配比例不得低于年度已实现收益的90$\%$
B. 每年不得多于一次
C. 收益分配比例不得低于年度已实现收益的30$\%$
D. 每年不得少于一次
",D. 每年不得少于一次,以下是中国关于基金从业资格证考试的单项选择题，请选出其中的正确答案。
"假设中、美两国货币即期汇率为1美元兑换6元人民币，中国一年期利率为5$\%$，美国-年期利率为6$\%$。根据利率平价理论，中、美两国货币的一年期远期汇率应为____。
A. 1美元兑换5元人民币
B. 1美元兑换7.2元人民币
C. 1美元兑换5.943元人民币
D. 1美元兑换6.057元人民币
",C. 1美元兑换5.943元人民币,以下是中国关于国际经济学考试的单项选择题，请选出其中的正确答案。
"研究社会资本再生产的出发点是____。
A. 货币资本
B. 生产资本
C. 流通资本
D. 社会总产品
",D. 社会总产品,以下是中国关于政治经济学考试的单项选择题，请选出其中的正确答案。
"假设某不付红利股票价格服从几何布朗运动，其预期年收益率为16$\%$，年波动率为30$\%$，该股票当天收盘价为50元。第二天收盘时的预期价格为____。
A. 51
B. 50.022
C. 51.022
D. 52.022
",B. 50.022,以下是中国关于金融工程学考试的单项选择题，请选出其中的正确答案。
"在简化的分批法下，累计间接费用分配率____。
A. 只是在各批产品之间分配间接费用的依据
B. 只是在各批在产品之间分配间接费用的依据
C. 只是完工产品与在产品之间分配间接费用的依据
D. 既是各批产品之间，也是完工产品与在产品之间分配间接费用的依据
",D. 既是各批产品之间，也是完工产品与在产品之间分配间接费用的依据,以下是中国关于成本会计学考试的单项选择题，请选出其中的正确答案。
"按照国际收支平衡表的设定原则，以下哪一项交易不应被计入中国资本与金融账户交易____。
A. 苹果公司在深圳的直接投资
B. 中国QDII投资者投资美国上市公司的股票分红
C. 股票和债务凭证的投资交易
D. 短期和长期贸易贷款
",B. 中国QDII投资者投资美国上市公司的股票分红,以下是中国关于国际经济学考试的单项选择题，请选出其中的正确答案。
"下列资源中，属于我国资源税的应税资源有____。
A. 森林资源
B. 矿产资源
C. 水力资源
D. 土地资源
",B. 矿产资源,以下是中国关于财政学考试的单项选择题，请选出其中的正确答案。
"建筑物火灾保险费率厘订方法一般有____。
A. 分类法
B. 表定法
C. 经验法
D. 分析法
",A. 分类法,以下是中国关于保险学考试的单项选择题，请选出其中的正确答案。
"以下哪一项不属于分子策略____。
A. 敏感度分析
B. 情景分析
C. 盈亏平衡点分析
D. 比照公司估计法
",D. 比照公司估计法,以下是中国关于公司金融学考试的单项选择题，请选出其中的正确答案。
"关于可转换债券，下列描述错误的是____。
A. 可转换债券是指公司债券附加可转换条款，赋予债券持有人按预先确定的比例（转换比率）转换为该公司普通股的选择权
B. 大部分可转换债券是没有抵押的低等级债券，并且常由风险较大的小型公司所发行的
C. 发行可转换债券的公司筹措债务资本的能力较低，使用可转换债券的方式将增强对投资者的吸引力
D. 可转换债券不能被发行公司提前赎回
",D. 可转换债券不能被发行公司提前赎回,以下是中国关于金融学考试的单项选择题，请选出其中的正确答案。
"1972年5月，芝加哥商业交易所(CME)推出____交易。
A. 股指期货
B. 利率期货
C. 股票期货
D. 外汇期货
",D. 外汇期货,以下是中国关于期货从业资格证考试的单项选择题，请选出其中的正确答案。
"下列各项业务中，不征收增值税的是____。
A. 德国某公司转让专利权供我国A公司在德国和我国使用
B. 航空运输企业无偿为关联企业提供的航空运输服务
C. 航空运输企业已售票但未提供航空运输服务取得的逾期票证收入
D. 航空运输企业根据国家指令以公益活动为目的无偿提供的航空运输服务
",D. 航空运输企业根据国家指令以公益活动为目的无偿提供的航空运输服务,以下是中国关于税法考试的单项选择题，请选出其中的正确答案。
"一台旧设备账面价值为30000元，变现价值为32000元，企业打算继续使用该设备，但由于物价上涨，估计需要增加经营性流动资产5000元，增加经营性流动负债2000元，假设所得税税率为25$\%$，则继续使用该旧设备的初始现金流出量为____。
A. 32200元
B. 33800元
C. 34500元
D. 35800元
",C. 34500元,以下是中国关于公司金融学考试的单项选择题，请选出其中的正确答案。
"甲公司为制造企业，其在日常经营活动中发生的下列费用或损失，应当计入存货成本的是____。
A. 仓库保管人员的工资
B. 季节性停工期间发生的制造费用
C. 未使用管理用固定资产计提的折旧
D. 采购运输过程中因自然灾害发生的损失
",B. 季节性停工期间发生的制造费用,以下是中国关于管理会计学考试的单项选择题，请选出其中的正确答案。
"货物运输合同计征印花税的计税依据是____。
A. 运费收入
B. 运费收入加保险费
C. 运费收入加装卸费
D. 运费收入加所运货物金额
",A. 运费收入,以下是中国关于注册会计师考试的单项选择题，请选出其中的正确答案。
"某公司第一年的销售收入为100万元，销售成本比率为40$\%$；第二年的销售收入为200万元，销售成本比率为50$\%$，则销售成本比率的增加消耗掉了____万元的现金。
A. 60
B. 50
C. 40
D. 20
",D. 20,以下是中国关于银行从业资格证考试的单项选择题，请选出其中的正确答案。
"下列清算财产作价的方法中，适用于清算企业的整体财产或某些特殊资产的是____。
A. 收益现值法
B. 重估价值法
C. 变现收入法
D. 账面价值法
",A. 收益现值法,以下是中国关于管理会计学考试的单项选择题，请选出其中的正确答案。
"根据“蒙代尔政策搭配理论”,当一国国际收支出现顺差、国内通货膨胀严重时,合理的政策选择为____。
A. 扩张性货币政策和紧缩性财政政策
B. 扩张性财政货币政策和货币升值
C. 紧缩性财政货币政策和货币贬值
D. 紧缩性货币政策和扩张性财政政策
",A. 扩张性货币政策和紧缩性财政政策,以下是中国关于中央银行学考试的单项选择题，请选出其中的正确答案。
