input,output,instruction
"april gold down 20 cents to settle at $1,116.10/oz",No,"Examine the news headline and decide if it includes price.
Options: Yes, No"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Does the news headline talk about price going up? 
Options: Yes, No"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Review the news headline and determine if it relates to price staying constant.
Options: Yes, No"
"april gold down 20 cents to settle at $1,116.10/oz",Yes,"Examine the news headline and decide if it includes price going down.
Options: Yes, No"
"april gold down 20 cents to settle at $1,116.10/oz",Yes,"Assess if the news headline touches on price in the past.
Options: Yes, No"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Analyze the news headline for any mention of price in the future.
Options: No, Yes"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Review the news headline and determine if it relates to a general event (apart from prices) in the past.
Options: No, Yes"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Let me know if the news headline talks about a general event (apart from prices) in the future.
Options: No, Yes"
"april gold down 20 cents to settle at $1,116.10/oz",No,"Please determine if the news headline addresses comparing gold with any other asset.
Options: Yes, No"
gold suffers third straight daily decline,No,"Review the news headline and determine if it relates to price.
Options: No, Yes"
gold suffers third straight daily decline,No,"Let me know if the news headline talks about price going up.
Options: No, Yes"
gold suffers third straight daily decline,No,"Please determine if the news headline addresses price staying constant.
Options: Yes, No"
gold suffers third straight daily decline,Yes,"Assess if the news headline touches on price going down.
Options: No, Yes"
gold suffers third straight daily decline,Yes,"Consider the news headline - does it concern price in the past?
Options: Yes, No"
gold suffers third straight daily decline,No,"Consider the news headline - does it concern price in the future?
Options: No, Yes"
gold suffers third straight daily decline,No,"Review the news headline and determine if it relates to a general event (apart from prices) in the past.
Options: Yes, No"
gold suffers third straight daily decline,No,"Assess if the news headline touches on a general event (apart from prices) in the future.
Options: Yes, No"
gold suffers third straight daily decline,No,"Does the news headline talk about comparing gold with any other asset? 
Options: No, Yes"
Gold futures edge up after two-session decline,No,"Please determine if the news headline addresses price.
Options: Yes, No"
Gold futures edge up after two-session decline,Yes,"Interpret the news headline to see if it mentions price going up.
Options: No, Yes"
Gold futures edge up after two-session decline,No,"Analyze the news headline for any mention of price staying constant.
Options: Yes, No"
Gold futures edge up after two-session decline,No,"Consider the news headline - does it concern price going down?
Options: No, Yes"
Gold futures edge up after two-session decline,Yes,"Consider the news headline - does it concern price in the past?
Options: No, Yes"
Gold futures edge up after two-session decline,No,"Is the news headline related to price in the future?
Options: No, Yes"
Gold futures edge up after two-session decline,No,"Is the news headline related to a general event (apart from prices) in the past?
Options: No, Yes"
Gold futures edge up after two-session decline,No,"Review the news headline and determine if it relates to a general event (apart from prices) in the future.
Options: Yes, No"
Gold futures edge up after two-session decline,No,"Please determine if the news headline addresses comparing gold with any other asset.
Options: No, Yes"
dent research : is gold's day in the sun coming soon?,No,"Consider the news headline - does it concern price?
Options: Yes, No"
dent research : is gold's day in the sun coming soon?,No,"Please determine if the news headline addresses price going up.
Options: Yes, No"
dent research : is gold's day in the sun coming soon?,No,"Review the news headline and determine if it relates to price staying constant.
Options: Yes, No"
dent research : is gold's day in the sun coming soon?,No,"Please determine if the news headline addresses price going down.
Options: Yes, No"
