input,output,instruction
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
"april gold down 20 cents to settle at $1,116.10/oz",No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,Yes,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
gold suffers third straight daily decline,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,Yes,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,Yes,Does the news headline talk about price in the past? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about price in the future? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about a general event (apart from prices) in the past? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline talk about a general event (apart from prices) in the future? Please choose an answer from {Yes/No}.
Gold futures edge up after two-session decline,No,Does the news headline compare gold with any other asset? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price going up? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price staying constant? Please choose an answer from {Yes/No}.
dent research : is gold's day in the sun coming soon?,No,Does the news headline talk about price going down? Please choose an answer from {Yes/No}.
